acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
13668.0,-259.0,-8774.0,0.05,-0.02,1.07
13970.0,-393.0,-8139.0,0.07,-0.02,1.11
14198.0,-361.0,-7785.0,0.08,-0.02,1.13
14253.0,-398.0,-7769.0,0.09,-0.02,1.13
14451.0,-425.0,-7401.0,0.1,-0.03,1.15
14506.0,-436.0,-7273.0,0.1,-0.03,1.16
14635.0,-451.0,-7003.0,0.11,-0.03,1.18
14793.0,-481.0,-6740.0,0.12,-0.03,1.19
14863.0,-562.0,-6505.0,0.12,-0.03,1.21
14913.0,-458.0,-6458.0,0.13,-0.03,1.21
15016.0,-588.0,-6185.0,0.13,-0.04,1.23
15038.0,-498.0,-6303.0,0.14,-0.03,1.22
15023.0,-466.0,-6244.0,0.13,-0.03,1.22
15084.0,-562.0,-6020.0,0.14,-0.03,1.24
15157.0,-516.0,-5796.0,0.14,-0.03,1.25
